"player_id","player_nm","mp","poss","pts","diff","poss2","pts2","poss3","pts3","possft","ptsft","poss2_rim","pts2_rim","poss2_other","pts2_other","tot_fta"
"a/acyqu01","Quincy Acy",847,165,171,6,126,124,15,12,24,35,56,74,70,50,53
"a/acyqu01","Quincy Acy",786,165,171,6,126,124,15,12,24,35,56,74,70,50,53
"a/adamsst01","Steven Adams",1197,250,265,15,185,186,0,0,65,79,116,148,69,38,136
"a/adrieje01","Jeff Adrien",961,327,362,35,275,286,0,0,52,76,147,180,128,106,119
"a/adrieje01","Jeff Adrien",256,327,362,35,275,286,0,0,52,76,147,180,128,106,119
"a/adrieje01","Jeff Adrien",705,327,362,35,275,286,0,0,52,76,147,180,128,106,119
"a/afflaar01","Arron Afflalo",2552,1149,1315,166,711,672,300,384,138,259,146,180,565,492,336
"a/ajincal01","Alexis Ajinca",951,280,328,48,249,272,1,0,30,56,110,140,139,132,67
"a/aldrico01","Cole Aldrich",330,75,92,17,61,66,0,0,14,26,25,36,36,30,30
"a/aldrila01","LaMarcus Aldridge",2498,1584,1603,19,1408,1298,15,9,161,296,241,336,1167,962,360
"a/allenla01","Lavoy Allen",1072,324,303,-21,287,264,13,6,24,33,73,82,214,182,50
"a/allenla01","Lavoy Allen",960,324,303,-21,287,264,13,6,24,33,73,82,214,182,50
"a/allenla01","Lavoy Allen",112,324,303,-21,287,264,13,6,24,33,73,82,214,182,50
"a/allenra02","Ray Allen",1936,583,676,93,235,248,308,348,40,80,81,102,154,146,116
"a/allento01","Tony Allen",1278,466,495,29,366,386,47,33,53,76,215,282,151,104,121
"a/aminual01","Al-Farouq Aminu",2045,555,572,17,445,442,48,39,62,91,201,270,244,172,137
"a/amundlo01","Lou Amundson",185,44,38,-6,32,32,0,0,12,6,19,26,13,6,24
"a/amundlo01","Lou Amundson",184,44,38,-6,32,32,0,0,12,6,19,26,13,6,24
"a/anderch01","Chris Andersen",1396,353,477,124,263,348,12,9,78,120,206,312,57,36,169
"a/anderal01","Alan Anderson",1773,535,564,29,237,220,248,252,50,92,81,110,156,110,118
"a/anderja01","James Anderson",2309,762,808,46,366,388,351,345,45,75,198,270,168,118,106
"a/anderry01","Ryan Anderson",795,378,428,50,190,176,164,201,24,51,53,56,137,120,62
"a/antetgi01","Giannis Antetokounmpo",1897,514,525,11,300,264,118,123,96,138,189,222,111,42,202
"a/anthoca01","Carmelo Anthony",2982,1868,2078,210,1228,1152,415,501,225,425,278,340,950,812,541
"a/anthojo01","Joel Anthony",186,36,28,-8,32,24,0,0,4,4,8,8,24,16,8
"a/anthojo01","Joel Anthony",149,36,28,-8,32,24,0,0,4,4,8,8,24,16,8
"a/anticpe01","Pero Antic",925,325,352,27,123,134,171,168,31,50,60,82,63,52,66
"a/arizatr01","Trevor Ariza",2723,936,1102,166,411,418,442,540,83,144,200,262,211,156,193
"a/arthuda01","Darrell Arthur",1161,438,401,-37,346,276,64,72,28,53,51,54,295,222,62
"a/asikom01","Omer Asik",968,249,280,31,190,202,0,0,59,78,133,170,57,32,126
"a/augusdj01","D.J. Augustin",1939,810,910,100,386,330,332,399,92,181,144,160,242,170,227
"a/augusdj01","D.J. Augustin",1857,810,910,100,386,330,332,399,92,181,144,160,242,170,227
