"player_id","player_nm","mp","poss","pts","diff","poss2","pts2","poss3","pts3","possft","ptsft","poss2_rim","pts2_rim","poss2_other","pts2_other","tot_fta"
"a/acyqu01","Quincy Acy",876,243,307,64,165,200,49,57,29,50,98,144,67,56,68
"a/adamsst01","Steven Adams",2014,513,636,123,426,522,0,0,87,114,307,402,119,120,196
"a/afflaar01","Arron Afflalo",2371,851,907,56,561,526,238,273,52,108,92,112,469,414,131
"a/ajincal01","Alexis Ajinca",861,341,352,11,313,300,1,0,27,52,89,120,224,180,62
"a/aldrico01","Cole Aldrich",800,264,328,64,225,268,0,0,39,60,126,168,99,100,84
"a/aldrila01","LaMarcus Aldridge",2261,1182,1330,148,1029,1072,16,0,137,258,292,428,737,644,302
"a/allenla01","Lavoy Allen",1599,403,428,25,370,382,0,0,33,46,141,200,229,182,73
"a/allento01","Tony Allen",1620,531,535,4,427,400,42,45,62,90,272,314,155,86,138
"a/aminual01","Al-Farouq Aminu",2341,787,839,52,370,346,349,378,68,115,181,216,189,130,156
"a/amundlo01","Lou Amundson",204,64,52,-12,53,38,0,0,11,14,30,32,23,6,27
"a/anderch01","Chris Andersen",402,90,105,15,58,68,14,12,18,25,46,62,12,6,36
"a/anderch01","Chris Andersen",366,90,105,15,58,68,14,12,18,25,46,62,12,6,36
"a/anderal01","Alan Anderson",192,64,64,0,22,18,37,36,5,10,9,10,13,8,15
"a/anderja01","James Anderson",721,191,179,-12,92,88,86,69,13,22,45,56,47,32,29
"a/anderju01","Justin Anderson",647,201,208,7,92,98,83,66,26,44,44,68,48,30,55
"a/anderky01","Kyle Anderson",1245,333,350,17,259,252,37,36,37,62,64,78,195,174,83
"a/anderry01","Ryan Anderson",2008,1025,1108,83,571,532,357,393,97,183,211,220,360,312,228
"a/antetgi01","Giannis Antetokounmpo",2823,1197,1350,153,902,970,110,84,185,296,516,706,386,264,409
"a/anthoca01","Carmelo Anthony",2530,1485,1558,73,997,924,310,315,178,319,278,300,719,624,403
"a/arizatr01","Trevor Ariza",2859,930,1022,92,361,344,497,555,72,123,219,260,142,84,161
"a/arthuda01","Darrell Arthur",1516,513,527,14,372,352,117,135,24,40,102,116,270,236,53
"a/asikom01","Omer Asik",1178,249,269,20,196,208,0,0,53,61,166,196,30,12,112
"a/augusdj01","D.J. Augustin",1178,406,464,58,181,160,169,204,56,100,90,94,91,66,128
"a/augusdj01","D.J. Augustin",519,406,464,58,181,160,169,204,56,100,90,94,91,66,128
"a/augusdj01","D.J. Augustin",659,406,464,58,181,160,169,204,56,100,90,94,91,66,128
"p/pendeje02","Jeff Ayres",107,26,30,4,22,24,1,0,3,6,11,14,11,10,6
"b/babbilu01","Luke Babbitt",845,309,323,14,180,156,109,132,20,35,63,54,117,102,50
"b/bairsca01","Cameron Bairstow",103,44,34,-10,35,24,5,3,4,7,11,6,24,18,8
"b/barbole01","Leandro Barbosa",1079,398,433,35,259,264,111,117,28,52,135,170,124,94,62
"b/bareajo01","J.J. Barea",1667,751,807,56,451,434,259,300,41,73,137,162,314,272,96
"b/bargnan01","Andrea Bargnani",634,301,304,3,263,248,15,9,23,47,39,36,224,212,57
"b/barneha02","Harrison Barnes",2042,691,774,83,419,426,214,246,58,102,144,180,275,246,134
"b/barnema02","Matt Barnes",2190,753,752,-1,323,290,370,357,60,105,187,210,136,80,138
"b/bartowi01","Will Barton",2353,1094,1169,75,660,628,324,336,110,205,292,350,368,278,268
"b/bassbr01","Brandon Bass",1342,382,473,91,315,348,2,0,65,125,188,252,127,96,148
"b/batumni01","Nicolas Batum",2448,940,1023,83,473,466,399,417,68,140,131,182,342,284,192
"b/bayleje01","Jerryd Bayless",1505,475,540,65,207,168,230,303,38,69,65,64,142,104,90
"b/baynear01","Aron Baynes",1233,461,514,53,382,388,2,0,77,126,175,212,207,176,165
"b/bazemke01","Kent Bazemore",2083,790,872,82,420,422,304,327,66,123,283,336,137,86,151
"b/bealbr01","Bradley Beal",1708,868,945,77,528,508,271,315,69,122,183,234,345,274,176
"b/beaslmi01","Michael Beasley",363,227,255,28,196,208,9,9,22,38,74,96,122,112,49
"b/belinma01","Marco Belinelli",1672,686,687,1,338,308,297,273,51,106,43,66,295,242,138
"b/beverpa01","Patrick Beverley",2041,635,699,64,284,268,310,372,41,59,117,136,167,132,88
"b/biyombi01","Bismack Biyombo",1808,393,454,61,287,312,1,0,105,142,188,240,99,72,226
"b/bjeline01","Nemanja Bjelica",1075,259,308,49,110,124,125,144,24,40,66,96,44,28,55
"b/blackta01","Tarik Black",496,127,133,6,105,114,0,0,22,19,71,92,34,22,45
"b/blairde01","DeJuan Blair",218,74,61,-13,67,56,1,0,6,5,26,28,41,28,13
"b/blakest01","Steve Blake",986,248,252,4,89,82,151,156,8,14,25,36,64,46,20
"b/bledser01","Eric Bledsoe",1059,566,628,62,363,350,129,144,74,134,130,152,233,198,172
"b/bogdabo02","Bojan Bogdanovic",2115,805,883,78,412,390,337,387,56,106,193,232,219,158,132
"b/bogutan01","Andrew Bogut",1451,303,375,72,278,348,1,3,24,24,189,286,89,62,50
"b/bonnema01","Matt Bonner",206,60,76,16,23,28,35,45,2,3,7,6,16,22,4
"b/bookede01","Devin Booker",2108,979,1039,60,578,536,289,297,112,206,184,236,394,300,256
"b/booketr01","Trevor Booker",1632,436,463,27,347,356,41,36,48,71,233,296,114,60,106
"b/boshch01","Chris Bosh",1778,884,1007,123,545,554,222,243,117,210,158,226,387,328,268
"b/bradlav01","Avery Bradley",2536,1071,1150,79,613,618,405,441,53,91,220,316,393,302,123
"b/brandel01","Elton Brand",225,75,70,-5,71,62,1,0,3,8,11,16,60,46,9
"b/breweco01","Corey Brewer",1669,614,590,-24,328,302,224,183,62,105,182,216,146,86,140
"b/brookaa01","Aaron Brooks",1108,497,491,-6,285,244,185,198,27,49,111,104,174,140,64
"b/brownan02","Anthony Brown",599,135,115,-20,56,38,70,60,9,17,17,14,39,24,20
"b/brownma02","Markel Brown",982,363,360,-3,201,178,121,114,41,68,82,94,119,84,94
"b/bryanko01","Kobe Bryant",1863,1220,1144,-76,646,530,466,399,108,215,104,134,542,396,281
"b/budinch01","Chase Budinger",929,264,271,7,153,160,86,72,25,39,87,118,66,42,56
"b/budinch01","Chase Budinger",729,264,271,7,153,160,86,72,25,39,87,118,66,42,56
"b/budinch01","Chase Budinger",200,264,271,7,153,160,86,72,25,39,87,118,66,42,56
"b/bullore01","Reggie Bullock",429,104,121,17,45,42,53,66,6,13,20,22,25,20,15
"b/burketr01","Trey Burke",1366,667,675,8,378,348,256,264,33,63,101,106,277,242,82
"b/burksal01","Alec Burks",797,396,407,11,255,210,79,96,62,101,93,106,162,104,141
"b/butleca01","Caron Butler",176,64,63,-1,41,44,18,9,5,10,2,2,39,42,12
"b/butleji01","Jimmy Butler",2474,1244,1385,141,828,812,206,192,210,381,324,436,504,376,475
"b/butlera01","Rasual Butler",432,112,124,12,56,68,49,45,7,11,19,30,37,38,16
"c/caldejo01","Jose Calderon",2024,476,542,66,252,250,203,252,21,40,45,58,207,192,48
"c/caldwke01","Kentavious Caldwell-Pope",2789,1055,1098,43,592,578,368,342,95,178,219,280,373,298,228
"c/canaais01","Isaiah Canaan",1966,784,825,41,238,168,484,528,62,129,94,92,144,76,180
"c/capelca01","Clint Capela",1471,493,542,49,396,462,1,0,96,80,312,412,84,50,211
"c/carrode01","DeMarre Carroll",786,293,286,-7,152,118,118,138,23,30,59,68,93,50,50
"c/cartevi01","Vince Carter",1005,376,388,12,174,148,169,177,33,63,71,76,103,72,84
"c/cartemi01","Michael Carter-Williams",1649,627,623,-4,500,472,55,45,72,106,195,222,305,250,162
"c/casspom01","Omri Casspi",1880,694,815,121,349,376,274,336,71,103,174,230,175,146,159
"c/caulewi01","Willie Cauley-Stein",1412,399,463,64,337,382,2,0,60,81,204,272,133,110,125
"c/chalmma01","Mario Chalmers",1373,561,625,64,295,272,149,138,117,215,142,150,153,122,262
"c/chalmma01","Mario Chalmers",120,561,625,64,295,272,149,138,117,215,142,150,153,122,262
"c/chalmma01","Mario Chalmers",1253,561,625,64,295,272,149,138,117,215,142,150,153,122,262
"c/chandty01","Tyson Chandler",1618,389,472,83,313,366,1,0,75,106,241,330,72,36,171
"c/clarkia01","Ian Clark",578,218,236,18,118,118,84,90,16,28,48,60,70,58,34
"c/clarkjo01","Jordan Clarkson",2552,1188,1216,28,781,728,318,333,89,155,287,310,494,418,204
"c/coleno01","Norris Cole",1198,515,477,-38,382,326,103,99,30,52,101,100,281,226,65
"c/collida01","Darren Collison",2219,869,1022,153,559,580,217,261,93,181,210,270,349,310,226
"c/collini01","Nick Collison",699,125,123,-2,107,100,2,0,16,23,57,58,50,42,33
"c/conlemi01","Mike Conley",1761,791,843,52,481,432,215,234,95,177,181,198,300,234,229
"c/connapa01","Pat Connaughton",143,51,36,-15,28,16,21,15,2,5,14,12,14,4,5
"c/copelch01","Chris Copeland",156,54,50,-4,15,14,36,30,3,6,7,10,8,4,7
"c/couside01","DeMarcus Cousins",2246,1628,1746,118,1122,1062,210,210,296,474,477,570,645,492,663
"c/covinro01","Robert Covington",1903,786,853,67,230,208,482,510,74,135,135,160,95,48,177
"c/crabbal01","Allen Crabbe",2105,722,830,108,394,400,284,336,44,94,90,128,304,272,113
"c/crawfja01","Jamal Crawford",2126,1052,1107,55,595,524,345,351,112,232,92,112,503,412,271
"c/crowdja01","Jae Crowder",2308,912,1036,124,449,474,363,366,100,196,223,314,226,160,239
"c/cunnida01","Dante Cunningham",1971,451,484,33,239,262,174,165,38,57,122,172,117,90,82
"c/cunnija01","Jared Cunningham",410,133,122,-11,67,50,39,36,27,36,39,46,28,4,55
"c/cunnija01","Jared Cunningham",355,133,122,-11,67,50,39,36,27,36,39,46,28,4,55
"c/curryse01","Seth Curry",692,246,294,48,113,104,111,150,22,40,20,28,93,76,54
"c/curryst01","Stephen Curry",2700,1755,2345,590,710,806,886,1206,159,333,358,498,352,308,400
"d/danietr01","Troy Daniels",476,191,242,51,65,60,122,177,4,5,7,8,58,52,9
"d/davisan02","Anthony Davis",2164,1312,1452,140,1029,1050,108,105,175,297,340,474,689,576,430
"d/davised01","Ed Davis",1684,426,526,100,337,412,0,0,89,114,252,332,85,80,204
"d/dedmode01","Dewayne Dedmon",705,211,255,44,177,198,0,0,34,57,106,138,71,60,76
"d/dejeabr01","Bryce Dejean-Jones",279,79,79,0,37,32,32,36,10,11,22,20,15,12,21
"d/dellama01","Matthew Dellavedova",1867,537,559,22,272,218,239,294,26,47,47,46,225,172,66
"d/denglu01","Luol Deng",2394,833,911,78,491,502,256,264,86,145,227,304,264,198,192
"d/derozde01","DeMar DeRozan",2804,1657,1799,142,1238,1134,139,141,280,524,311,392,927,742,653
"d/diawbo01","Boris Diaw",1386,415,485,70,314,354,69,75,32,56,151,200,163,154,76
"d/dienggo01","Gorgui Dieng",2220,688,827,139,558,604,20,18,110,205,224,318,334,286,248
"d/dinwisp01","Spencer Dinwiddie",159,68,58,-10,43,36,10,3,15,19,18,22,25,14,33
"d/douglto01","Toney Douglas",1262,491,531,40,243,206,203,243,45,82,89,104,154,102,99
"d/dragigo01","Goran Dragic",2363,951,1018,67,670,706,205,192,76,120,287,382,383,324,165
"d/drumman01","Andre Drummond",2666,1331,1314,-17,1055,1100,7,6,269,208,628,768,427,332,586
"d/dudleja01","Jared Dudley",2098,530,638,108,248,266,239,300,43,72,61,92,187,174,98
"d/duncati01","Tim Duncan",1536,497,522,25,440,430,2,0,55,92,143,192,297,238,131
"d/dunlemi02","Mike Dunleavy",703,202,220,18,89,76,99,117,14,27,52,62,37,14,37
"d/duranke01","Kevin Durant",2578,1584,1998,414,901,1024,480,558,203,416,293,432,608,592,498
"e/earlycl01","Cleanthony Early",154,42,31,-11,25,16,15,12,2,3,10,10,15,6,4
"e/eddieja01","Jarell Eddie",147,69,63,-6,18,10,47,45,4,8,3,0,15,10,8
"e/ellinwa01","Wayne Ellington",1615,585,578,-7,293,244,268,288,24,46,69,84,224,160,63
"e/ellismo01","Monta Ellis",2734,1111,1120,9,740,698,281,261,90,161,241,286,499,412,206
"e/ennisja01","James Ennis",329,129,159,30,55,56,58,78,16,25,42,50,13,6,34
"e/ennisja01","James Ennis",282,129,159,30,55,56,58,78,16,25,42,50,13,6,34
"e/ennisty01","Tyler Ennis",654,202,206,4,148,142,39,39,15,25,71,80,77,62,34
"e/evansje01","Jeremy Evans",251,57,71,14,32,44,16,12,9,15,25,38,7,6,21
"e/evansty01","Tyreke Evans",765,357,379,22,228,206,85,99,44,74,161,164,67,42,93
"e/ezelife01","Festus Ezeli",770,287,320,33,228,250,0,0,59,70,147,200,81,50,132
"f/farieke01","Kenneth Faried",1694,721,835,114,624,696,2,3,95,136,403,510,221,186,222
"f/farmajo01","Jordan Farmar",291,104,108,4,55,52,45,48,4,8,20,22,35,30,10
"f/favorde01","Derrick Favors",1983,919,1016,97,807,836,4,0,108,180,308,440,499,396,254
"f/feliccr01","Cristiano Felicio",321,88,105,17,68,80,4,0,16,25,42,52,26,28,35
"f/feltora01","Raymond Felton",2192,761,760,-1,469,434,213,180,79,146,148,188,321,246,176
"f/fournev01","Evan Fournier",2566,1031,1206,175,540,546,389,468,102,192,279,354,261,192,238
"f/foyera01","Randy Foye",1642,514,472,-42,232,188,250,225,32,59,94,104,138,84,74
"f/foyera01","Randy Foye",1070,514,472,-42,232,188,250,225,32,59,94,104,138,84,74
"f/foyera01","Randy Foye",572,514,472,-42,232,188,250,225,32,59,94,104,138,84,74
"f/fraziti01","Tim Frazier",741,263,261,-2,182,160,48,48,33,53,65,74,117,86,74
"f/fraziti01","Tim Frazier",272,263,261,-2,182,160,48,48,33,53,65,74,117,86,74
"f/fraziti01","Tim Frazier",469,263,261,-2,182,160,48,48,33,53,65,74,117,86,74
"f/fryech01","Channing Frye",1200,362,423,61,110,120,237,273,15,30,38,50,72,70,35
"f/fryech01","Channing Frye",754,362,423,61,110,120,237,273,15,30,38,50,72,70,35
"f/fryech01","Channing Frye",446,362,423,61,110,120,237,273,15,30,38,50,72,70,35
"g/gallida01","Danilo Gallinari",1839,896,1023,127,459,400,241,261,196,362,208,224,251,176,432
"g/gallola01","Langston Galloway",2033,635,621,-14,364,308,224,231,47,82,138,160,226,148,114
"g/garneke01","Kevin Garnett",556,125,122,-3,114,108,1,0,10,14,18,24,96,84,21
"g/gasolma01","Marc Gasol",1791,818,859,41,704,652,3,6,111,201,116,138,588,514,245
"g/gasolpa01","Pau Gasol",2291,1125,1187,62,926,886,69,72,130,229,242,272,684,614,289
"g/gayru01","Rudy Gay",2379,1115,1191,76,792,784,215,222,108,185,269,350,523,434,254
"g/geeal01","Alonzo Gee",1632,283,323,40,193,228,61,51,29,44,143,200,50,28,66
"g/georgpa01","Paul George",2819,1670,1852,182,883,790,565,630,222,432,243,294,640,496,528
"g/gibsota01","Taj Gibson",1936,562,627,65,498,526,3,0,61,101,262,330,236,196,146
"g/ginobma01","Manu Ginobili",1134,487,554,67,256,254,179,210,52,90,121,130,135,124,112
"g/goberru01","Rudy Gobert",1932,490,557,67,354,396,0,0,136,161,284,364,70,32,283
"g/goodedr01","Drew Gooden",305,109,82,-27,63,52,40,21,6,9,25,24,38,28,14
"g/goodwar01","Archie Goodwin",1114,510,505,-5,323,306,99,69,88,130,222,256,101,50,193
"g/gordoaa01","Aaron Gordon",1863,666,719,53,439,464,141,126,86,129,263,344,176,120,193
"g/gordoer01","Eric Gordon",1481,604,683,79,259,236,292,339,53,108,124,130,135,106,125
"g/gortama01","Marcin Gortat",2256,857,1012,155,763,866,1,0,93,146,344,486,419,380,207
"g/grantje01","Jerami Grant",2066,747,749,2,453,432,146,105,148,212,294,364,159,68,322
"g/grantje02","Jerian Grant",1265,444,426,-18,291,264,100,66,53,96,144,150,147,114,123
"g/greenda02","Danny Green",2062,579,569,-10,210,188,349,348,20,33,93,112,117,76,46
"g/greendr01","Draymond Green",2808,964,1131,167,561,602,258,300,145,229,400,494,161,108,329
"g/greenge01","Gerald Green",1557,622,613,-9,327,292,260,252,35,69,87,102,240,190,92
"g/greenja01","JaMychal Green",1446,555,578,23,450,430,45,45,60,103,221,252,229,178,137
"g/greenje02","Jeff Green",2253,922,938,16,611,574,213,201,98,163,253,306,358,268,220
"g/greenje02","Jeff Green",1544,922,938,16,611,574,213,201,98,163,253,306,358,268,220
"g/greenje02","Jeff Green",709,922,938,16,611,574,213,201,98,163,253,306,358,268,220
"g/griffbl01","Blake Griffin",1170,692,749,57,586,590,18,18,88,141,175,260,411,330,194
"h/hairspj02","P.J. Hairston",1313,434,409,-25,167,150,241,210,26,49,88,104,79,46,64
"h/hairspj02","P.J. Hairston",938,434,409,-25,167,150,241,210,26,49,88,104,79,46,64
"h/hairspj02","P.J. Hairston",375,434,409,-25,167,150,241,210,26,49,88,104,79,46,64
"h/hamiljo02","Jordan Hamilton",304,125,125,0,71,72,45,39,9,14,34,44,37,28,21
"h/hansbty01","Tyler Hansbrough",343,103,104,1,68,60,3,6,32,38,43,50,25,10,65
"h/hardati02","Tim Hardaway",864,286,322,36,123,132,141,144,22,46,58,80,65,52,56
"h/hardeja01","James Harden",3125,1964,2346,382,961,948,656,708,347,690,397,516,564,432,837
"h/harklma01","Maurice Harkless",1457,462,498,36,271,312,140,117,51,69,206,272,65,40,111
"h/harremo01","Montrezl Harrell",379,112,140,28,89,116,1,0,22,24,60,90,29,26,46
"h/harride01","Devin Harris",1280,434,486,52,216,230,158,156,60,100,118,154,98,76,140
"h/harriga01","Gary Harris",2439,819,926,107,468,508,297,315,54,103,274,336,194,172,133
"h/harrito02","Tobias Harris",2513,992,1114,122,651,674,238,240,103,200,333,420,318,254,243
"h/harrito02","Tobias Harris",1610,992,1114,122,651,674,238,240,103,200,333,420,318,254,243
"h/harrito02","Tobias Harris",903,992,1114,122,651,674,238,240,103,200,333,420,318,254,243
"h/hasleud01","Udonis Haslem",260,68,59,-9,52,44,9,3,7,12,12,16,40,28,16
"h/hawessp01","Spencer Hawes",1035,337,340,3,204,172,102,114,31,54,86,96,118,76,65
"h/haywago01","Gordon Hayward",2893,1402,1549,147,792,756,410,429,200,364,251,312,541,444,477
"h/hendege02","Gerald Henderson",1431,598,624,26,392,368,137,144,69,112,83,124,309,244,146
"h/hensojo01","John Henson",960,344,397,53,290,328,1,0,53,69,156,202,134,126,117
"h/hezonma01","Mario Hezonja",1413,442,478,36,226,228,192,201,24,49,85,112,141,116,54
"h/hibbero01","Roy Hibbert",1878,478,481,3,409,364,2,0,67,117,120,150,289,214,145
"h/hicksjj01","J.J. Hickson",436,203,206,3,154,160,1,0,48,46,86,118,68,42,103
"h/hicksjj01","J.J. Hickson",305,203,206,3,154,160,1,0,48,46,86,118,68,42,103
"h/hicksjj01","J.J. Hickson",131,203,206,3,154,160,1,0,48,46,86,118,68,42,103
"h/hilarne01","Nene Hilario",1094,468,525,57,381,418,3,0,84,107,182,254,199,164,185
"h/hillge01","George Hill",2524,804,889,85,426,396,314,384,64,109,164,204,262,192,150
"h/hilljo01","Jordan Hill",1513,605,645,40,547,556,1,0,57,89,182,240,365,316,125
"h/hillso01","Solomon Hill",866,228,245,17,135,138,73,72,20,35,71,92,64,46,42
"h/hillida01","Darrun Hilliard",383,150,152,2,82,66,50,57,18,29,28,32,54,34,40
"h/hinriki01","Kirk Hinrich",631,136,137,1,67,50,62,72,7,15,25,24,42,26,16
"h/hinriki01","Kirk Hinrich",555,136,137,1,67,50,62,72,7,15,25,24,42,26,16
"h/holidjr01","Jrue Holiday",1831,1030,1086,56,676,646,259,261,95,179,271,312,405,334,216
"h/holidju01","Justin Holiday",773,245,239,-6,123,104,105,108,17,27,60,58,63,46,37
"h/holidju01","Justin Holiday",263,245,239,-6,123,104,105,108,17,27,60,58,63,46,37
"h/holidju01","Justin Holiday",510,245,239,-6,123,104,105,108,17,27,60,58,63,46,37
"h/holliry01","Ryan Hollins",460,98,124,26,79,98,0,0,19,26,50,70,29,28,42
"h/holliry01","Ryan Hollins",412,98,124,26,79,98,0,0,19,26,50,70,29,28,42
"h/holliro01","Rondae Hollis-Jefferson",615,163,167,4,124,118,14,12,25,37,62,72,62,46,52
"h/holmeri01","Richaun Holmes",702,254,286,32,178,212,44,24,32,50,127,184,51,28,74
"h/hoodro01","Rodney Hood",2541,1060,1144,84,523,494,449,483,88,167,108,132,415,362,200
"h/horfoal01","Al Horford",2631,1105,1249,144,792,882,257,264,56,103,314,468,478,414,129
"h/howardw01","Dwight Howard",2280,811,976,165,595,744,6,0,210,232,395,594,200,150,474
"h/huertma01","Marcelo Huertas",869,238,231,-7,169,162,61,48,8,21,42,52,127,110,29
"h/humphkr01","Kris Humphries",835,334,343,9,187,174,108,102,39,67,66,82,121,92,84
"h/humphkr01","Kris Humphries",466,334,343,9,187,174,108,102,39,67,66,82,121,92,84
"h/humphkr01","Kris Humphries",295,334,343,9,187,174,108,102,39,67,66,82,121,92,84
"h/hunterj01","R.J. Hunter",315,101,97,-4,35,34,63,57,3,6,13,16,22,18,7
"i/ibakase01","Serge Ibaka",2500,922,983,61,685,712,184,180,53,91,170,228,515,484,121
"i/iguodan01","Andre Iguodala",1732,405,457,52,214,244,154,162,37,51,114,166,100,78,83
"i/ilyaser01","Ersan Ilyasova",1881,732,767,35,403,368,258,288,71,111,193,220,210,148,154
"i/ilyaser01","Ersan Ilyasova",1434,732,767,35,403,368,258,288,71,111,193,220,210,148,154
"i/ilyaser01","Ersan Ilyasova",447,732,767,35,403,368,258,288,71,111,193,220,210,148,154
"i/inglejo01","Joe Ingles",1241,298,342,44,81,86,210,243,7,13,35,52,46,34,18
"i/inglida01","Damien Inglis",156,41,36,-5,24,20,13,9,4,7,13,16,11,4,8
"i/irvinky01","Kyrie Irving",1667,950,1017,67,619,620,260,252,71,145,214,250,405,370,191
"j/jackja01","Jarrett Jack",1027,405,401,-4,256,218,102,93,47,90,39,48,217,170,112
"j/jacksre01","Reggie Jackson",2424,1383,1472,89,909,844,334,354,140,274,348,400,561,444,337
"j/jamesle01","LeBron James",2709,1616,1911,295,1134,1300,282,261,200,350,648,938,486,362,491
"j/jeffeal01","Al Jefferson",1096,553,562,9,505,490,0,0,48,72,137,176,368,314,111
"j/jefferi01","Richard Jefferson",1326,350,410,60,139,154,173,198,38,58,72,108,67,46,87
"j/jenkijo01","John Jenkins",480,168,176,8,109,110,51,48,8,18,27,38,82,72,24
"j/jenkijo01","John Jenkins",193,168,176,8,109,110,51,48,8,18,27,38,82,72,24
"j/jenkijo01","John Jenkins",287,168,176,8,109,110,51,48,8,18,27,38,82,72,24
"j/jennibr01","Brandon Jennings",868,336,332,-4,148,122,155,153,33,57,47,54,101,68,78
"j/jennibr01","Brandon Jennings",416,336,332,-4,148,122,155,153,33,57,47,54,101,68,78
"j/jennibr01","Brandon Jennings",452,336,332,-4,148,122,155,153,33,57,47,54,101,68,78
"j/jerebjo01","Jonas Jerebko",1176,321,338,17,178,150,108,129,35,59,98,104,80,46,78
"j/johnsam01","Amir Johnson",1800,484,579,95,384,480,43,30,57,69,233,332,151,148,121
"j/johnsch04","Chris Johnson",857,213,205,-8,95,90,99,81,19,34,48,64,47,26,42
"j/johnsja01","James Johnson",926,271,287,16,174,188,66,60,31,39,114,144,60,44,68
"j/johnsjo02","Joe Johnson",2703,921,986,65,546,514,313,360,62,112,64,76,482,438,142
"j/johnsjo02","Joe Johnson",1934,921,986,65,546,514,313,360,62,112,64,76,482,438,142
"j/johnsjo02","Joe Johnson",769,921,986,65,546,514,313,360,62,112,64,76,482,438,142
"j/johnsor01","Orlando Johnson",101,39,26,-13,24,14,11,6,4,6,13,10,11,4,8
"j/johnsst04","Stanley Johnson",1687,643,592,-51,395,324,205,189,43,79,153,174,242,150,102
"j/johnsty01","Tyler Johnson",863,268,314,46,172,182,70,81,26,51,80,100,92,82,64
"j/johnswe01","Wesley Johnson",1666,533,548,15,206,210,309,309,18,29,72,102,134,108,46
"j/jokicni01","Nikola Jokic",1733,682,794,112,515,556,84,84,83,154,250,310,265,246,190
"j/jonesja02","James Jones",463,152,180,28,39,36,104,123,9,21,5,8,34,28,26
"j/joneste01","Terrence Jones",1044,417,434,17,288,282,79,75,50,77,163,208,125,74,116
"j/jonesty01","Tyus Jones",573,170,149,-21,103,80,53,48,14,21,32,34,71,46,39
"j/jordade01","DeAndre Jordan",2598,794,980,186,505,714,1,0,288,266,424,652,81,62,619
"j/josepco01","Cory Joseph",2046,662,673,11,475,454,110,90,77,129,173,214,302,240,174
"k/kamanch01","Chris Kaman",112,44,44,0,39,38,4,3,1,3,9,10,30,28,3
"k/kaminfr01","Frank Kaminsky",1708,590,606,16,323,294,202,204,65,108,174,182,149,112,148
"k/kanteen01","Enes Kanter",1721,827,1038,211,698,808,21,30,108,200,446,580,252,228,251
"k/karasse01","Sergey Karasev",399,87,96,9,37,38,37,33,13,25,15,18,22,20,28
"k/kellyry01","Ryan Kelly",470,173,152,-21,112,100,37,15,24,37,36,36,76,64,54
"k/kiddgmi01","Michael Kidd-Gilchrist",205,72,89,17,54,60,7,9,11,20,35,46,19,14,29
"k/kilpase01","Sean Kilpatrick",616,300,344,44,156,168,114,117,30,59,68,94,88,74,67
"k/kilpase01","Sean Kilpatrick",534,300,344,44,156,168,114,117,30,59,68,94,88,74,67
"k/knighbr03","Brandon Knight",1870,972,1007,35,545,502,350,360,77,145,178,222,367,280,183
"k/korveky01","Kyle Korver",2401,626,720,94,219,220,396,474,11,26,35,44,184,176,54
"k/koufoko01","Kosta Koufos",1482,489,527,38,443,470,0,0,46,57,167,232,276,238,104
"l/lambje01","Jeremy Lamb",1227,546,580,34,328,348,182,168,36,64,147,186,181,162,88
"l/landrca01","Carl Landry",569,292,351,59,237,266,13,18,42,67,92,138,145,128,91
"l/larkish01","Shane Larkin",1751,551,566,15,395,366,109,117,47,83,161,192,234,174,107
"l/lauvejo01","Joffrey Lauvergne",1041,411,465,54,327,364,53,39,31,62,154,198,173,166,69
"l/lavinza01","Zach LaVine",2294,1047,1147,100,644,620,316,369,87,158,266,360,378,260,203
"l/lawsoty01","Ty Lawson",1411,392,373,-19,246,206,108,108,38,59,84,96,162,110,86
"l/lawsoty01","Ty Lawson",1176,392,373,-19,246,206,108,108,38,59,84,96,162,110,86
"l/lawsoty01","Ty Lawson",235,392,373,-19,246,206,108,108,38,59,84,96,162,110,86
"l/leeco01","Courtney Lee",2334,679,738,59,422,416,217,246,40,76,122,148,300,268,118
"l/leeco01","Courtney Lee",1489,679,738,59,422,416,217,246,40,76,122,148,300,268,118
"l/leeco01","Courtney Lee",845,679,738,59,422,416,217,246,40,76,122,148,300,268,118
"l/leeda02","David Lee",903,377,427,50,334,356,1,0,42,71,202,258,132,98,93
"l/leeda02","David Lee",470,377,427,50,334,356,1,0,42,71,202,258,132,98,93
"l/leeda02","David Lee",433,377,427,50,334,356,1,0,42,71,202,258,132,98,93
"l/lenal01","Alex Len",1821,732,703,-29,616,526,7,3,109,174,276,316,340,210,239
