"player_id","player_nm","mp","poss","pts","diff","poss2","pts2","poss3","pts3","possft","ptsft","poss2_rim","pts2_rim","poss2_other","pts2_other","tot_fta"
"a/acyqu01","Quincy Acy",1287,374,398,24,271,268,60,54,43,76,98,132,173,136,97
"a/adamsjo01","Jordan Adams",248,96,94,-2,61,50,25,30,10,14,25,28,36,22,23
"a/adamsst01","Steven Adams",1771,490,537,47,397,434,2,0,91,103,241,310,156,124,205
"a/adrieje01","Jeff Adrien",215,61,60,-1,44,38,0,0,17,22,23,24,21,14,38
"a/afflaar01","Arron Afflalo",2502,964,1022,58,551,514,333,354,80,154,110,126,441,388,198
"a/afflaar01","Arron Afflalo",1750,964,1022,58,551,514,333,354,80,154,110,126,441,388,198
"a/afflaar01","Arron Afflalo",752,964,1022,58,551,514,333,354,80,154,110,126,441,388,198
"a/ajincal01","Alexis Ajinca",957,373,443,70,328,362,0,0,45,81,116,140,212,222,99
"a/aldemfu01","Furkan Aldemir",540,91,93,2,73,80,5,0,13,13,49,68,24,12,27
"a/aldrico01","Cole Aldrich",976,329,338,9,301,288,0,0,28,50,108,146,193,142,64
"a/aldrila01","LaMarcus Aldridge",2512,1574,1654,80,1310,1244,105,111,159,299,273,382,1037,862,362
"a/allenla01","Lavoy Allen",1070,322,317,-5,300,284,0,0,22,33,95,134,205,150,48
"a/allento01","Tony Allen",1648,511,539,28,426,430,29,30,56,79,314,354,112,76,126
"a/aminual01","Al-Farouq Aminu",1366,410,412,2,233,226,124,102,53,84,147,182,86,44,118
"a/amundlo01","Lou Amundson",937,294,259,-35,254,218,1,0,39,41,128,122,126,96,87
"a/amundlo01","Lou Amundson",858,294,259,-35,254,218,1,0,39,41,128,122,126,96,87
"a/anderch01","Chris Andersen",1132,261,320,59,194,232,13,12,54,76,146,196,48,36,114
"a/anderal01","Alan Anderson",1744,482,543,61,229,242,210,219,43,82,101,138,128,104,101
"a/anderky01","Kyle Anderson",358,94,74,-20,78,56,11,9,5,9,23,26,55,30,14
"a/anderry01","Ryan Anderson",1675,792,830,38,370,338,359,366,63,126,156,174,214,164,151
"a/antetgi01","Giannis Antetokounmpo",2541,935,1030,95,736,752,44,21,155,257,395,510,341,242,347
"a/anthoca01","Carmelo Anthony",1428,904,955,51,627,594,179,183,98,178,178,208,449,386,237
"a/anthojo01","Joel Anthony",406,71,87,16,62,72,0,0,9,15,32,52,30,20,22
"a/anticpe01","Pero Antic",1037,349,356,7,123,112,173,156,53,88,71,78,52,34,123
"a/arizatr01","Trevor Ariza",2930,973,1047,74,354,344,555,582,64,121,205,252,149,92,143
"a/arthuda01","Darrell Arthur",988,413,382,-31,274,258,110,78,29,46,53,66,221,192,59
"a/asikom01","Omer Asik",1982,515,557,42,412,426,1,0,102,131,369,408,43,18,225
"a/augusdj01","D.J. Augustin",1964,737,770,33,401,350,246,249,90,171,162,194,239,156,205
"a/augusdj01","D.J. Augustin",1287,737,770,33,401,350,246,249,90,171,162,194,239,156,205
"a/augusdj01","D.J. Augustin",677,737,770,33,401,350,246,249,90,171,162,194,239,156,205
"p/pendeje02","Jeff Ayres",383,110,137,27,95,110,0,0,15,27,62,88,33,22,36
"b/babbilu01","Luke Babbitt",830,201,256,55,77,66,115,177,9,13,18,20,59,46,19
"b/barbole01","Leandro Barbosa",982,420,466,46,274,280,112,129,34,57,143,186,131,94,74
"b/bareajo01","J.J. Barea",1362,580,580,0,369,342,167,162,44,76,138,152,231,190,94
"b/bargnan01","Andrea Bargnani",785,409,428,19,320,298,41,45,48,85,56,64,264,234,107
"b/barneha02","Harrison Barnes",2318,724,827,103,441,458,215,261,68,108,203,278,238,180,150
"b/barnema02","Matt Barnes",2271,668,764,96,248,282,376,408,44,74,158,216,90,66,95
"b/barroea01","Earl Barron",143,45,32,-13,35,20,4,6,6,6,11,2,24,18,12
"b/bartowi01","Will Barton",983,395,397,2,268,254,85,69,42,74,122,150,146,104,94
"b/bartowi01","Will Barton",300,395,397,2,268,254,85,69,42,74,122,150,146,104,94
"b/bartowi01","Will Barton",683,395,397,2,268,254,85,69,42,74,122,150,146,104,94
"b/bassbr01","Brandon Bass",1929,777,865,88,651,670,32,27,94,168,252,342,399,328,214
"b/batumni01","Nicolas Batum",2380,643,664,21,291,280,308,300,44,84,108,150,183,130,98
"b/bayleje01","Jerryd Bayless",1717,574,591,17,396,366,120,111,58,114,125,150,271,216,137
"b/baynear01","Aron Baynes",1122,373,461,88,323,368,4,3,46,90,181,230,142,138,104
"b/bazemke01","Kent Bazemore",1324,376,390,14,199,186,132,144,45,60,109,132,90,54,100
"b/bealbr01","Bradley Beal",2107,919,947,28,593,516,259,318,67,113,176,236,417,280,166
"b/beaslmi01","Michael Beasley",505,223,212,-11,178,168,34,24,11,20,44,54,134,114,26
"b/belinma01","Marco Belinelli",1388,513,562,49,240,226,230,258,43,78,61,74,179,152,99
"b/bennean01","Anthony Bennett",894,326,298,-28,274,236,22,21,30,41,93,126,181,110,64
"b/beverpa01","Patrick Beverley",1727,561,568,7,209,178,323,345,29,45,95,96,114,82,60
"b/biyombi01","Bismack Biyombo",1243,268,304,36,186,202,0,0,82,102,137,180,49,22,175
"b/blackta01","Tarik Black",1196,328,379,51,272,314,1,0,55,65,189,246,83,68,118
"b/blackta01","Tarik Black",393,328,379,51,272,314,1,0,55,65,189,246,83,68,118
"b/blackta01","Tarik Black",803,328,379,51,272,314,1,0,55,65,189,246,83,68,118
"b/blairde01","DeJuan Blair",180,60,56,-4,57,52,0,0,3,4,22,24,35,28,6
"b/blakest01","Steve Blake",1529,344,348,4,108,90,219,231,17,27,22,26,86,64,41
"b/bledser01","Eric Bledsoe",2800,1228,1358,130,775,760,272,264,181,334,364,466,411,294,441
