"player_id","player_nm","mp","poss","pts","diff","poss2","pts2","poss3","pts3","possft","ptsft","poss2_rim","pts2_rim","poss2_other","pts2_other","tot_fta"
"a/abrinal01","Alex Abrines",1134,310,352,42,69,62,221,252,20,38,37,44,32,18,46
"a/acyqu01","Quincy Acy",1359,394,411,17,73,56,292,306,29,49,42,42,31,14,60
"a/adamsst01","Steven Adams",2487,837,1056,219,710,896,2,0,125,160,504,694,206,202,287
"a/adebaba01","Bam Adebayo",1368,420,477,57,333,348,7,0,80,129,212,272,121,76,179
"a/afflaar01","Arron Afflalo",682,174,179,5,92,76,70,81,12,22,15,22,77,54,26
"a/aldrila01","LaMarcus Aldridge",2509,1512,1724,212,1255,1320,92,81,165,323,370,544,885,776,399
"a/allenja01","Jarrett Allen",1441,465,588,123,381,456,16,18,68,114,265,370,116,86,147
"a/allenka01","Kadeem Allen",107,26,19,-7,11,12,11,0,4,7,7,8,4,4,9
"a/allento01","Tony Allen",273,101,103,2,79,80,12,12,10,11,60,68,19,12,21
"a/aminual01","Al-Farouq Aminu",2072,618,644,26,243,210,339,375,36,59,125,152,118,58,80
"a/anderju01","Justin Anderson",519,219,236,17,99,106,103,102,17,28,61,82,38,24,38
"a/anderky01","Kyle Anderson",1978,503,585,82,381,424,57,57,65,104,170,234,211,190,146
"a/anderry01","Ryan Anderson",1725,522,617,95,141,152,339,393,42,72,68,88,73,64,93
"a/antetgi01","Giannis Antetokounmpo",2756,1683,2014,331,1262,1398,140,129,281,487,636,962,626,436,641
"a/anthoca01","Carmelo Anthony",2501,1252,1255,3,695,606,474,507,83,142,141,160,554,446,193
"a/anunoog01","OG Anunoby",1481,372,438,66,149,180,197,219,26,39,122,170,27,10,62
"a/arcidry01","Ryan Arcidiacono",304,44,48,4,10,16,31,27,3,5,4,8,6,8,6
"a/arizatr01","Trevor Ariza",2269,685,778,93,189,196,462,510,34,72,143,182,46,14,89
"a/arthuda01","Darrell Arthur",141,48,54,6,24,28,23,24,1,2,6,12,18,16,3
"a/artisja01","Jamel Artis",279,84,77,-7,50,46,29,24,5,7,12,16,38,30,12
"a/asikom01","Omer Asik",182,28,22,-6,22,18,0,0,6,4,18,14,4,4,13
"a/asikom01","Omer Asik",121,28,22,-6,22,18,0,0,6,4,18,14,4,4,13
"a/augusdj01","D.J. Augustin",1760,619,762,143,267,260,272,342,80,160,130,148,137,112,189
"b/babbilu01","Luke Babbitt",715,225,259,34,59,62,156,180,10,17,9,8,50,54,22
"b/babbilu01","Luke Babbitt",570,225,259,34,59,62,156,180,10,17,9,8,50,54,22
"b/babbilu01","Luke Babbitt",145,225,259,34,59,62,156,180,10,17,9,8,50,54,22
"b/bacondw01","Dwayne Bacon",713,203,175,-28,150,122,43,33,10,20,35,44,115,78,25
"b/bakerro01","Ron Baker",385,72,71,-1,26,18,33,33,13,20,17,16,9,2,27
"b/balllo01","Lonzo Ball",1780,594,528,-66,269,226,295,270,30,32,154,152,115,74,71
"b/bareajo01","J.J. Barea",1603,733,800,67,377,376,313,345,43,79,116,154,261,222,102
"b/barneha02","Harrison Barnes",2634,1339,1430,91,874,836,333,357,132,237,254,320,620,516,313
"b/bartowi01","Will Barton",2683,1124,1262,138,606,618,423,468,95,176,292,386,314,232,226
"b/batumni01","Nicolas Batum",1981,699,732,33,376,356,274,276,49,100,71,100,305,256,130
"b/bayleje01","Jerryd Bayless",925,282,307,25,116,110,146,162,20,35,44,60,72,50,44
"b/baynear01","Aron Baynes",1485,480,482,2,425,414,21,9,34,59,178,200,247,214,78
"b/bazemke01","Kent Bazemore",1789,762,835,73,402,352,274,324,86,159,153,186,249,166,201
"b/bealbr01","Bradley Beal",2977,1621,1829,208,954,968,530,597,137,264,305,416,649,552,369
"b/beaslma01","Malik Beasley",583,192,195,3,96,90,82,84,14,21,43,52,53,38,33
"b/beaslmi01","Michael Beasley",1653,869,976,107,719,750,86,102,64,124,265,358,454,392,159
"b/belinma01","Marco Belinelli",1947,828,960,132,368,376,395,447,65,137,96,128,272,248,163
"b/belinma01","Marco Belinelli",1210,828,960,132,368,376,395,447,65,137,96,128,272,248,163
"b/belinma01","Marco Belinelli",737,828,960,132,368,376,395,447,65,137,96,128,272,248,163
"b/belljo01","Jordan Bell",809,204,262,58,181,232,4,0,19,30,130,182,51,50,44
"b/bembrde01","DeAndre' Bembry",455,143,136,-7,98,84,30,33,15,19,64,66,34,18,33
"b/bendedr01","Dragan Bender",2069,507,531,24,162,138,322,354,23,39,87,100,75,38,51
"b/bertada01","Davis Bertans",1086,385,456,71,114,134,252,282,19,40,50,80,64,54,49
"b/beverpa01","Patrick Beverley",334,127,134,7,59,48,60,72,8,14,27,32,32,16,17
"b/birchkh01","Khem Birch",578,155,178,23,126,136,0,0,29,42,74,98,52,38,61
"b/birdja01","Jabari Bird",115,32,39,7,19,24,7,9,6,6,16,24,3,0,13
"b/biyombi01","Bismack Biyombo",1495,421,468,47,351,366,0,0,70,102,188,268,163,98,157
